,city_name,country_name,longitude,latitude,clouds,date,humidity,max temp,wind
534,alexandria,US,-92.44,31.31,1,1534715700,47,95.0,11.41
535,bahar,IR,48.44,34.91,0,1534718860,63,50.42,2.59
536,libreville,GA,9.45,0.39,20,1534717800,83,77.0,8.05
537,sale,GB,-2.32,53.42,90,1534717200,93,64.4,2.24
538,mandalgovi,MN,106.27,45.76,0,1534718860,81,53.75,11.21
539,jiexiu,CN,111.92,37.02,0,1534718861,82,67.34,3.94
540,batemans bay,AU,150.18,-35.71,0,1534718861,81,50.6,10.31
541,jalu,LY,21.55,29.03,0,1534718861,48,81.83,14.9
542,bolivar,US,-93.41,37.61,20,1534715520,88,75.2,13.87
543,kamina,CD,25.0,-8.74,0,1534718862,50,58.61,5.73
544,mut,TR,33.44,36.64,0,1534718862,67,57.8,1.7
545,alta floresta,BR,-56.08,-9.87,44,1534718862,78,77.51,1.92
546,lavrentiya,RU,-170.99,65.58,92,1534718862,95,46.01,13.44
547,cabra,ES,-4.43,37.47,0,1534716000,51,80.6,3.36
548,bow island,CA,-111.38,49.87,75,1534716000,23,73.4,5.82
549,kisaran,ID,99.62,2.98,20,1534718681,98,76.52,2.71
550,westport,IE,-9.52,53.8,92,1534718863,94,57.53,3.49
551,sulangan,PH,123.72,11.14,0,1534718864,100,82.46,15.79
552,oksfjord,NO,22.35,70.24,75,1534715400,76,53.6,16.11
553,starcevo,RS,20.7,44.81,0,1534716000,78,71.6,3.36
554,hobyo,SO,48.53,5.35,0,1534718775,88,73.46,20.49
555,kibala,TD,18.35,9.11,20,1534716000,88,75.2,2.93
556,bodaybo,RU,114.2,57.85,68,1534718865,94,53.21,2.71
557,diu,IN,70.98,20.71,88,1534718865,98,75.26,9.19
558,peniche,PT,-9.38,39.36,0,1534716000,64,82.4,1.12
559,nova odesa,UA,31.79,47.3,32,1534718865,47,65.36,5.06
560,beyneu,KZ,55.19,45.32,68,1534718866,71,66.44,0.36
561,roma,IT,12.48,41.89,20,1534715700,73,77.0,6.93
562,mao,DO,-71.08,19.55,20,1534716000,46,89.6,12.75
563,leningradskaya,RU,39.39,46.32,0,1534718867,38,64.19,12.66
